Name,Option,Torque(Nm),Engine/Zylinder,Displacement(cm3),Fuel Consumption(l/100 km),CO2 Emissions(g/km),Price(euro)
GLA,GLB 180 ,230,Benziner/R4,1332,"7,6 - 7,0",173 - 158,44090
GLA,GLB 200 d 4MATIC,320,Diesel/R4,1950,"6,4 - 5,8",167 - 153,50380
