Option,Torque(Nm),Engine/Zylinder,Displacement(cm3),Fuel Consumption(l/100 km),CO2 Emissions(g/km),Price(euro)
A 180 ,230,Benziner/R4,1332,"6,5 - 5,9",148 - 134,34990
A 180 d,280,Diesel/R4,1950,"5,5 - 5,0",145 - 132,36990
