Name,Option,Battery Capacity(kWh),Torque(Nm),Drive Range(Min - Max(km)),Price(euro)
EQB,EQB 250+ ,70.5,385,464 – 533,55490
EQB,EQB 300 4MATIC,66.5,390,396 – 444,57290
