Name,Option,Battery Capacity(kWh),Torque(Nm),Drive Range(Min - Max(km)),Price(euro)
EQE,EQE 300 ,89.0,550,532 - 614,59760
EQE,EQE 350,89.0,565,532 - 614,68690
EQE,EQE 350+,90.56,565,644 - 675,71890
EQE,EQE 350 4MATIC,89.0,765,537 - 615,71890
EQE,EQE 500 4MATIC,90.56,858,537 - 612,85690
EQE,EQE 43 4MATIC,90.56,858,436 - 503,102090
EQE,EQE 53 4MATIC+,90.56,950,441 - 502,108090
