Name,Option,Torque(Nm),Engine/Zylinder,Displacement(cm3),Fuel Consumption(l/100 km),CO2 Emissions(g/km),Price(euro)
C-Klasse Limousine,C 200 d ,380,Diesel/R4,1993,"5,2 - 4,6",137 - 120,50890
C-Klasse Limousine,C 220 d 4MATIC,440,Diesel/R4,1993,"5,5 - 4,8",143 - 126,55990
