Name,Option,Torque(Nm),Engine/Zylinder,Displacement(cm3),Fuel Consumption(l/100 km),CO2 Emissions(g/km),Price(euro)
B-Klasse,B 180 ,230,Benziner/R4,1332,"6,8 - 6,1",154 - 138,35990
B-Klasse,B 180 d,280,Diesel/R4,1950,"5,7 - 5,2",150 - 136,38490
