Name,Option,Battery Capacity(kWh),Torque(Nm),Drive Range(Min - Max(km)),Price(euro)
EQA,EQA 250 ,66.5,385,457 – 525,49990
EQA,EQA 250+ ,70.5,385,497 – 559,52990
EQA,EQA 300 4MATIC,66.5,390,412 – 457,54990
