Name,Option,Torque(Nm),Engine/Zylinder,Displacement(cm3),Fuel Consumption(l/100 km),CO2 Emissions(g/km),Price(euro)
C-Klasse T-Modell,C 200 d ,380,Diesel/R4,1993,"5,4 - 4,7",141 - 124,51090
C-Klasse T-Modell,C 220 d 4MATIC,440,Diesel/R4,1993,"5,6 - 5,0",147 - 130,55990
