Name,Option,Torque(Nm),Engine/Zylinder,Displacement(cm3),Fuel Consumption(l/100 km),CO2 Emissions(g/km),Price(euro)
GLC Coupé,GLC 300e 4MATIC,550,Benziner/R4,1999,"0,6 - 0,5","15,0 - 11,0",72200
GLC Coupé,GLC 300 de 4MATIC,750,Diesel/R4,1993,"0,5 - 0,4","13,0 - 10,0",71850
